files,parts
none/7910247.txt,train
major/3951549.txt,train
none/8095977.txt,train
none/5857311.txt,train
none/5548181.txt,train
minor/8497990.txt,train
none/5041287.txt,train
minor/6577272.txt,train
none/8423865.txt,train
none/6957824.txt,train
major/9036731.txt,train
none/6537106.txt,train
none/8644476.txt,train
none/6009570.txt,train
none/3818939.txt,train
none/5775855.txt,train
none/8631904.txt,train
none/6589858.txt,train
none/4242529.txt,train
none/5445165.txt,train
minor/9000671.txt,train
none/8404033.txt,train
none/8766133.txt,train
none/6209901.txt,train
none/6431594.txt,train
none/8118314.txt,train
none/3857363.txt,train
none/8949635.txt,train
none/4471454.txt,train
none/9192024.txt,train
none/5186909.txt,train
none/7883291.txt,train
none/7540312.txt,train
none/9503296.txt,train
none/3981428.txt,train
none/6746974.txt,train
none/4671530.txt,train
none/7416098.txt,train
none/5361443.txt,train
none/6207748.txt,train
none/8243636.txt,train
none/4298894.txt,train
major/3986717.txt,train
none/8976668.txt,train
none/7763232.txt,train
none/7074773.txt,train
none/4435454.txt,train
minor/7875037.txt,train
none/8725125.txt,train
none/6839392.txt,train
none/6923170.txt,train
none/8916223.txt,train
none/8501404.txt,train
none/8039539.txt,train
none/5423009.txt,train
none/7197234.txt,train
none/8051310.txt,train
none/4753103.txt,train
none/3823798.txt,train
none/5176784.txt,train
major/8653310.txt,train
none/5883695.txt,train
none/4786049.txt,train
none/5989938.txt,train
none/8845236.txt,train
none/6287432.txt,train
none/8090357.txt,train
minor/5907756.txt,train
none/4843205.txt,train
none/7896708.txt,train
none/6606189.txt,train
none/4210356.txt,train
none/6964408.txt,train
none/6536605.txt,train
none/8972057.txt,train
none/6073975.txt,train
none/5508642.txt,train
none/9458075.txt,train
none/6823557.txt,train
none/6785745.txt,train
none/7375581.txt,train
none/7627967.txt,train
critical/8999751.txt,train
none/7920669.txt,train
none/4246529.txt,train
none/6889571.txt,train
none/9516656.txt,train
none/7792356.txt,train
none/7343807.txt,train
none/7400506.txt,train
none/6396521.txt,train
none/8281103.txt,train
none/9060510.txt,train
none/8873169.txt,train
none/8907524.txt,train
none/8436618.txt,train
none/7563653.txt,train
none/8334605.txt,train
none/7267070.txt,train
none/3975605.txt,train
none/5800930.txt,train
none/5903677.txt,train
none/9474427.txt,train
none/7436139.txt,train
none/6328926.txt,train
none/4512609.txt,train
none/8890241.txt,train
critical/5939954.txt,train
none/7377589.txt,train
none/6917328.txt,train
none/8904678.txt,train
none/7205348.txt,train
none/7038229.txt,train
none/5895731.txt,train
none/6329948.txt,train
none/7196784.txt,train
none/8151239.txt,train
none/9371099.txt,train
none/4756088.txt,train
none/5942839.txt,train
none/5760043.txt,train
none/3724040.txt,train
none/8706829.txt,train
none/8457702.txt,train
minor/7581965.txt,train
none/6757343.txt,train
none/3945199.txt,train
none/7518556.txt,train
none/4778425.txt,train
none/6179494.txt,train
none/4089742.txt,train
critical/7923456.txt,train
none/4043104.txt,train
none/8904560.txt,train
none/3794102.txt,train
major/7356984.txt,train
none/5393638.txt,train
major/3918920.txt,train
none/6943892.txt,train
none/7476486.txt,train
none/8443434.txt,train
none/6824306.txt,train
major/6730087.txt,train
none/4195038.txt,train
none/9127614.txt,train
none/6044730.txt,train
none/6579891.txt,train
none/8905843.txt,train
none/4735672.txt,train
none/8424288.txt,train
none/4634262.txt,train
none/4919453.txt,train
none/5226222.txt,train
none/6517482.txt,train
none/6600350.txt,train
none/8971685.txt,train
major/7108130.txt,train
none/5102890.txt,train
none/8961619.txt,train
none/5784280.txt,train
none/5476959.txt,train
none/4460754.txt,train
none/6342054.txt,train
none/4758737.txt,train
none/8328444.txt,train
none/7234731.txt,train
none/6462487.txt,train
none/5799553.txt,train
none/5798489.txt,train
none/4384349.txt,train
none/8145522.txt,train
major/5503308.txt,train
major/8685299.txt,train
none/6306509.txt,train
none/6029853.txt,train
none/6624087.txt,train
none/5596509.txt,train
none/5939683.txt,train
none/9079227.txt,train
none/7113719.txt,train
none/3791275.txt,train
none/7989222.txt,train
none/4617521.txt,train
minor/5328888.txt,train
none/7885799.txt,train
none/4672583.txt,train
none/7783504.txt,train
none/6291892.txt,train
none/9515902.txt,train
none/8430551.txt,train
none/7156819.txt,train
minor/5972104.txt,train
none/6515344.txt,train
none/4371699.txt,train
none/8219824.txt,train
none/7341500.txt,train
none/9539712.txt,train
none/7131047.txt,train
none/8636574.txt,train
none/4128743.txt,train
major/6442583.txt,train
none/6782933.txt,train
none/5678475.txt,train
minor/5403624.txt,train
none/5737047.txt,train
none/8690430.txt,train
none/3801914.txt,train
minor/4568919.txt,train
none/4417149.txt,train
none/3701394.txt,train
none/4927730.txt,train
minor/7728166.txt,train
none/7278060.txt,train
none/6772849.txt,train
none/4357598.txt,train
none/4266432.txt,train
none/6479689.txt,train
none/5445152.txt,train
critical/5310114.txt,train
none/9022587.txt,train
none/4561905.txt,train
none/8437389.txt,train
none/7222257.txt,train
none/6458156.txt,train
none/7538101.txt,train
major/6060474.txt,train
none/7272610.txt,train
none/6637469.txt,train
none/6553535.txt,train
none/7320330.txt,train
minor/8866735.txt,train
none/8756041.txt,train
none/4887547.txt,train
none/9249980.txt,train
none/9114817.txt,train
none/5638052.txt,train
none/8604349.txt,train
none/4297095.txt,train
none/7221713.txt,train
none/4468174.txt,train
none/4371297.txt,train
